cpus=28
     hello.1.out-987225 [008] 692035.904489: funcgraph_entry:        2.859 us   |  mutex_unlock();
     hello.1.out-987225 [008] 692035.904494: funcgraph_entry:        0.515 us   |  __f_unlock_pos();
     hello.1.out-987225 [008] 692035.904495: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.904495: sys_exit_write:       0x1
     hello.1.out-987225 [008] 692035.904496: funcgraph_exit:         1.808 us   |  }
     hello.1.out-987225 [008] 692035.904497: funcgraph_entry:        0.436 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.904498: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.904499: sys_enter_execve:     filename: 0x7ffe9895e8f0, argv: 0x7ffe9895fdf0, envp: 0x7ffe9895fe00
     hello.1.out-987225 [008] 692035.904500: funcgraph_exit:         1.180 us   |  }
     hello.1.out-987225 [008] 692035.904500: funcgraph_entry:                   |  x64_sys_call() {
          <idle>-0     [018] 692035.904703: funcgraph_entry:        2.712 us   |  _raw_spin_lock_irqsave();
          <idle>-0     [018] 692035.904706: funcgraph_entry:        0.585 us   |  _raw_spin_unlock_irqrestore();
          <idle>-0     [018] 692035.904708: funcgraph_entry:        2.618 us   |  switch_mm_irqs_off();
          <idle>-0     [008] 692035.905108: funcgraph_entry:        1.046 us   |  _raw_spin_lock_irqsave();
          <idle>-0     [008] 692035.905109: funcgraph_entry:        0.422 us   |  _raw_spin_unlock_irqrestore();
          <idle>-0     [008] 692035.905110: funcgraph_entry:        0.794 us   |  switch_mm_irqs_off();
     hello.1.out-987225 [008] 692035.906074: funcgraph_exit:       # 1573.792 us |  }
     hello.1.out-987225 [008] 692035.906074: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906075: sys_exit_execve:      0x0
     hello.1.out-987225 [008] 692035.906076: funcgraph_exit:         1.349 us   |  }
     hello.1.out-987225 [008] 692035.906076: funcgraph_entry:        1.008 us   |  task_work_run();
     hello.1.out-987225 [008] 692035.906078: funcgraph_entry:        0.346 us   |  mem_cgroup_handle_over_high();
     hello.1.out-987225 [008] 692035.906078: funcgraph_entry:        0.350 us   |  blkcg_maybe_throttle_current();
     hello.1.out-987225 [008] 692035.906079: funcgraph_entry:        0.377 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906080: funcgraph_entry:        1.071 us   |  switch_fpu_return();
     hello.1.out-987225 [008] 692035.906083: funcgraph_entry:        1.120 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906084: funcgraph_entry:      + 13.541 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906098: funcgraph_entry:        0.375 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906099: funcgraph_entry:        0.359 us   |  up_read();
     hello.1.out-987225 [008] 692035.906100: funcgraph_entry:        0.336 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906100: funcgraph_entry:        0.402 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906103: funcgraph_entry:        0.837 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906104: funcgraph_entry:        9.034 us   |  handle_mm_fault();
