cpus=28
     hello.1.out-987566 [010] 692184.128544: funcgraph_entry:        1.979 us   |  mutex_unlock();
     hello.1.out-987566 [010] 692184.128547: funcgraph_entry:                   |  __f_unlock_pos() {
     hello.1.out-987566 [010] 692184.128547: funcgraph_entry:        0.332 us   |    mutex_unlock();
     hello.1.out-987566 [010] 692184.128548: funcgraph_exit:         0.967 us   |  }
     hello.1.out-987566 [010] 692184.128548: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987566 [010] 692184.128549: funcgraph_entry:                   |    syscall_exit_work() {
     hello.1.out-987566 [010] 692184.128549: sys_exit_write:       0x1
     hello.1.out-987566 [010] 692184.128550: funcgraph_exit:         1.051 us   |    }
     hello.1.out-987566 [010] 692184.128550: funcgraph_exit:         1.722 us   |  }
     hello.1.out-987566 [010] 692184.128551: funcgraph_entry:        0.319 us   |  fpregs_assert_state_consistent();
     hello.1.out-987566 [010] 692184.128552: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987566 [010] 692184.128552: sys_enter_execve:     filename: 0x7fff252389d0, argv: 0x7fff25239ed0, envp: 0x7fff25239ee0
     hello.1.out-987566 [010] 692184.128553: funcgraph_exit:         1.103 us   |  }
     hello.1.out-987566 [010] 692184.128553: funcgraph_entry:                   |  x64_sys_call() {
     hello.1.out-987566 [010] 692184.128554: funcgraph_entry:                   |    __x64_sys_execve() {
          <idle>-0     [022] 692184.128783: funcgraph_entry:        2.529 us   |  _raw_spin_lock_irqsave();
          <idle>-0     [022] 692184.128786: funcgraph_entry:        0.571 us   |  _raw_spin_unlock_irqrestore();
          <idle>-0     [022] 692184.128788: funcgraph_entry:                   |  switch_mm_irqs_off() {
          <idle>-0     [022] 692184.128790: funcgraph_entry:        0.803 us   |    switch_ldt();
          <idle>-0     [022] 692184.128791: funcgraph_exit:         3.259 us   |  }
          <idle>-0     [010] 692184.129086: funcgraph_entry:        0.949 us   |  _raw_spin_lock_irqsave();
          <idle>-0     [010] 692184.129087: funcgraph_entry:        0.396 us   |  _raw_spin_unlock_irqrestore();
          <idle>-0     [010] 692184.129088: funcgraph_entry:        0.675 us   |  switch_mm_irqs_off();
     hello.1.out-987566 [010] 692184.130050: funcgraph_exit:       # 1496.005 us |    }
